announced_date,region,number_of_facilities,total_number_of_quarantine_people,total_covid_confirmed_cases,new_positive_within_24hrs,deceased,new_deceased,ref
2020-03-04,Bago,911,8373,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Mon,435,7674,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Magway,74,7339,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Shan (North),61,5957,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Mandalay,804,5337,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Sagaing,1231,5281,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Shan (East),590,4160,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Kachin,152,3480,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Yangon,26,2644,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Kayin,25,2402,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Shan (South),256,2262,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Ayeyarwady,317,2235,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Nay Pyi Taw,5,667,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Kayah,19,496,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Rakhine,9,245,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Chin,16,0,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-03-04,Tanintharyi,317,0,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%201%20COVID-19_4-4-2020.pdf
2020-04-04,Magway,73,12546,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Bago,996,8867,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Mon,476,8597,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Mandalay,883,5995,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Shan (North),61,5957,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Sagaing,1231,5281,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Shan (East),590,4160,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Kachin,152,3480,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Ayeyarwady,317,2768,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Yangon,26,2644,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Kayin,25,2402,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Shan (South),256,2262,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Nay Pyi Taw,5,799,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Kayah,19,496,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Rakhine,9,245,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
2020-04-04,Chin,16,0,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FSituation%20Report%20(CEU)%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%202%20COVID-19_5-4-2020.pdf
